"Sira";"Trafo";"TM";"Tip";"MW";"MVAR";"Yuklenme (%)"
"1";"TR-A";"KARAMAN RES";"Dağıtım Trafosu";"38,86";"-1,26";"62,18"
"2";"TR-A";"İGA GES";"Dağıtım Trafosu";"73,13";"-3,11";"58,50"
"3";"TR-A";"AYBASTI RES";"Dağıtım Trafosu";"57,74";"-3,13";"57,74"
"4";"TR-B";"ETİ SODA";"Dağıtım Trafosu";"-35,57";"-1,19";"56,92"
"5";"TR-B";"KARAPINAR ACIGÖL GES";"Dağıtım Trafosu";"-65,92";"8,69";"52,73"
"6";"TR-A";"KARAPINAR ACIGÖL GES";"Dağıtım Trafosu";"-65,45";"6,62";"52,36"
"7";"PRTR-6";"KAZAN DGKÇ";"Dağıtım Trafosu";"-20,91";"-4,49";"52,27"
"8";"PRTR-2";"KAZAN DGKÇ";"Dağıtım Trafosu";"-20,71";"-2,72";"51,76"
"9";"TR";"ÇAMLICA3 HES";"Dağıtım Trafosu";"15,98";"0,03";"50,73"
"10";"TR-B";"ANKARA SANAYİ";"Dağıtım Trafosu";"50,58";"-3,12";"50,58"
"11";"TR-A";"KAYSERİ1";"Dağıtım Trafosu";"-49,58";"4,89";"49,58"
"12";"TR-2";"ÇİMPOR";"Dağıtım Trafosu";"-15,27";"-1,79";"48,87"
"13";"TR-B";"İGA GES";"Dağıtım Trafosu";"60,78";"-3,14";"48,63"
"14";"TR-B";"ÜMİTKÖY";"Dağıtım Trafosu";"-47,87";"-7,05";"47,87"
"15";"PRTR-5";"KAZAN DGKÇ";"Dağıtım Trafosu";"-19,14";"-2,54";"47,84"
"16";"TR-A";"KARAMAN BES";"Dağıtım Trafosu";"28,54";"-7,66";"45,67"
"17";"TR-A";"BİLKENT";"Dağıtım Trafosu";"-44,86";"4,26";"44,86"
"18";"TR-C";"KAYSERİ3";"Dağıtım Trafosu";"-44,16";"2,25";"44,16"
"19";"TR-A";"ÇİĞDEM";"Dağıtım Trafosu";"-43,60";"5,09";"43,60"
"20";"TR-B";"AKKÖPRÜ";"Dağıtım Trafosu";"-43,59";"2,52";"43,59"
"21";"TR-4";"KARAPINAR MEKE GÖLÜ GES";"Dağıtım Trafosu";"-107,76";"12,11";"43,11"
"22";"TR-A";"İMRAHOR";"Dağıtım Trafosu";"-42,63";"6,16";"42,63"
"23";"TR-B";"KONYA ÇİMENTO";"Dağıtım Trafosu";"-26,46";"-2,65";"42,33"
"24";"TR-B";"KIRIKKALE";"Dağıtım Trafosu";"-26,45";"0,17";"42,31"
"25";"TR-A";"KAYSERİ4";"Dağıtım Trafosu";"-41,99";"0,53";"41,99"
"26";"TR-A";"OVACIK";"Dağıtım Trafosu";"-41,73";"7,07";"41,73"
"27";"TR-A";"ETİ SODA";"Dağıtım Trafosu";"-26,08";"3,75";"41,72"
"28";"TR-B";"ADATOPRAKPINAR";"Dağıtım Trafosu";"25,98";"-4,22";"41,57"
"29";"TR-A";"ADATOPRAKPINAR";"Dağıtım Trafosu";"25,94";"-4,16";"41,50"
"30";"PRTR-1";"KAZAN DGKÇ";"Dağıtım Trafosu";"-16,25";"-2,00";"40,63"
"31";"PRTR-3";"KAZAN DGKÇ";"Dağıtım Trafosu";"-16,24";"-2,46";"40,61"
"32";"C-TR-5";"SİNCAN";"Dağıtım Trafosu";"-50,74";"-0,64";"40,59"
"33";"PRTR-4";"KAZAN DGKÇ";"Dağıtım Trafosu";"-15,90";"-2,66";"39,76"
"34";"TR-C";"ÜMİTKÖY";"Dağıtım Trafosu";"-39,35";"-1,60";"39,35"
"35";"TR-3";"KARAPINAR MEKE GÖLÜ GES";"Dağıtım Trafosu";"-97,65";"8,74";"39,06"
"36";"TR-D";"MALTEPE ANKARA";"Dağıtım Trafosu";"-38,80";"3,26";"38,80"
