sinsid,TM (b1Name),b2Name,b3Name,elementName,MAX(__time),AVG(maxValue)
64a14f61-8090-4eee-b371-8a7e89c7fa16,ANKARA-2,400,OSMANCA,P,2026-04-20T00:00:00.000Z,929.7944611186902
a58ac8fc-5b4e-45af-8aac-1840ce2efa0a,TEMELLI,380,GEBZE-DG,P,2026-04-20T00:00:00.000Z,949.5185597826087
ff50afeb-aed7-4688-b07f-1d0414087907,CAYIRHAN,380,ADA-2,P,2026-04-19T23:58:00.000Z,814.1112479871177
f74f5067-e2eb-4de6-85df-61723d02980f,YESILHIS,380,AGACOR.K,P,2026-04-20T00:00:00.000Z,820.8752309782609
8eb54664-7d2d-4ede-a7e4-515e8ed3b231,YESILHIS,380,AGACOR.G,P,2026-04-20T00:00:00.000Z,811.5373165760869
88d98ab0-c7c6-482a-85bf-f51801ac9d8b,YUNUSEMR,380,ADAPAZAR,P,2026-04-20T00:00:00.000Z,728.0568442622953
ccefb2ce-6102-4ed1-8dc8-ab24d85d7f8d,TEMELLI,380,YUNUSEMR,P,2026-04-20T00:00:00.000Z,709.2540393754243
312b6d76-8e96-44e9-98e9-986a3b495d62,GOLBASI,400,G.KAYA-1,P,2026-04-20T00:00:00.000Z,531.453627118644
8e01efb1-3a41-4842-bddd-c1cbede5a301,URGUPTM,400,SINCAN1,P,2026-04-20T00:00:00.000Z,635.5100340599456
575d5d0b-59cf-4994-bbd6-c3a56714d4e7,URGUPTM,400,SINCAN2,P,2026-04-20T00:00:00.000Z,620.103978201635
b50407e1-bc2d-4fb8-8535-f297415bbd7e,ANKARA-2,400,CAYIRHAN,P,2026-04-20T00:00:00.000Z,538.5633333333334
0f35280e-b0a5-47ad-a6c9-cfe1d8866d93,ANKARA-2,400,TEMELLI,P,2026-04-20T00:00:00.000Z,325.50525458248467
ee95eda4-a026-4646-aa87-f05ef33d1dfd,GOKCEKAY,380,AKSAGOYN,P,2026-04-20T00:00:00.000Z,603.6341503046716
5fd1911e-5ef8-49fa-9076-5bdfa194241e,GOLBASI,400,SINCAN-1,P,2026-04-20T00:00:00.000Z,554.68627970129
01996321-dd3b-4855-93d8-e8ac5765dd1c,BAGLUM,380,ANKARA-2,P,2026-04-20T00:00:00.000Z,245.27048200950435
a9fe2bbb-d341-4f5a-9915-c081f4a95735,KAYSERI,380,GOLBAS-G,P,2026-04-20T00:00:00.000Z,552.808414192614
27190e4e-79a2-4526-9121-88a9b40c424b,KAYSERI,380,GOLBAS-K,P,2026-04-20T00:00:00.000Z,534.0514266304348
d28a4615-c063-4c24-86af-86fedcf494e6,BOZOKTM,380,ICANADOL,P,2026-04-20T00:00:00.000Z,350.30051841746246
d2813ebf-f6b0-424d-98d2-50c926aff5be,YESILHIS,380,K.PINARG,P,2026-04-20T00:00:00.000Z,235.0180845969673
8d432216-f1fe-4ea0-8701-565ae6df6d0f,K.PINARG,380,KARATAY,P,2026-04-20T00:00:00.000Z,276.935
1b548d3c-3614-4ed0-b92d-bce43f1db5b4,KARATAY,380,KONYAKZY,P,2026-04-19T23:57:00.000Z,218.80228601252605
8a7f5dbf-ae05-4ed3-8c40-fe8526dc472e,KONYAKZY,380,AFYON-2,P,2026-04-20T00:00:00.000Z,190.1829027872196
147d5ba7-5e37-4b26-bb7b-58e2cc05fc94,IGAGES,400,AFYON-2,P,2026-04-20T00:00:00.000Z,28.155323349217152
2ee7de58-a1a4-4c21-8e5b-6046ebe89bcc,TEMELLI,380,IGAGES,P,2026-04-20T00:00:00.000Z,19.272481305234543
2b5cba2f-d35a-4499-82f7-d216f9d6bd0c,POLATCMT,154,TEMELLI,P,2026-04-20T00:00:00.000Z,-5.928805159538358
fd027666-1f39-4780-bc1f-486aad687a27,GOKCEKAY,380,ESKISEH3,P,2026-04-20T00:00:00.000Z,-57.94612051455654
809e5f03-d036-4c57-8743-af8e3fb4bcf5,KIRIKDG,380,KAYAS-2,P,2026-04-20T00:00:00.000Z,188.70022271714922
ed1a1ec7-82a1-4301-b68c-54f0a26e14f3,IGAGES,400,TEMELLI,P,2026-04-20T00:00:00.000Z,-9.513723621511241
32f0ead6-3ffc-423e-8b8a-7d2774429f38,KIRIKDG,380,KAYAS-1,P,2026-04-20T00:00:00.000Z,186.33708149779736
6d272e1f-3b34-49c7-961c-d2a18eff136f,ICANADOL,380,GOLBASI,P,2026-04-20T00:00:00.000Z,138.40468940316686
c8056eea-7049-410c-b0db-f0fb29a0a009,ICANADOL,380,K.KALEDG,P,2026-04-19T23:58:00.000Z,208.24538071065984
322757c5-3c88-439f-b38a-9db32c9fa424,K.PINARG,380,Plnt_avP,P,2026-04-19T19:12:00.000Z,105.12347600518808
d6f7529b-302c-4830-a4d7-c3895e7c1ffa,KIRIKDG,380,SINCAN,P,2026-04-19T23:59:00.000Z,140.6452340019102
27e9d325-82e2-46ae-aba3-b52548b72e7f,KAYSERI,154,TALAS1,P,2026-04-20T00:00:00.000Z,203.21910150891637
876fc63c-9b45-4c1b-8524-7605ec665d98,KAYSERI,154,TALAS2,P,2026-04-20T00:00:00.000Z,202.6258835758836
231a71c5-f49d-4aba-8e26-9fff5925b0ea,K.PINARG,380,GES,P,2026-04-20T00:00:00.000Z,48.3139087018545
0349eefe-8c90-4498-b414-95060487205b,DEL5,154,YEDEK,P,2026-04-19T14:37:00.000Z,200.0
4571aaba-b5e8-4aa8-9ad7-280e7129009d,GOLBASI,400,KAYAS,P,2026-04-20T00:00:00.000Z,74.53623473541383
ba3a1273-51fd-4fc7-bb41-c7f65a84ea5f,CUMRA,154,KARATAY,P,2026-04-20T00:00:00.000Z,100.50249490142761
e7eebe87-d7b9-4b2e-9a22-3b93c5fe3b29,KARAMAN,154,DIANAGES,P,2026-04-20T00:00:00.000Z,91.96632043448744
c55ae78a-143d-44b0-a70a-dbed31a5f91f,AKKOPGIS,154,MALTEPE,P,2026-04-20T00:00:00.000Z,119.93361111111112
2369eb5a-5c0e-486f-88af-51d2ebdcad23,KAYAS1TM,154,IMRAHOR2,P,2026-04-19T23:58:00.000Z,119.25901898734179
e654cf77-35bb-4023-9f83-db65e354ba69,KAYAS,154,IMRAHOR2,P,2026-04-19T23:58:00.000Z,119.62201814058956
f866e230-93ae-41fa-87da-3a79d088fb32,DIANAGES,154,CUMRA,P,2026-04-20T00:00:00.000Z,89.27543024227235
c737a9c7-5796-4cc1-b489-a3b6da3cb62c,BAGLUM,380,sOTR_2,P,2026-04-20T00:00:00.000Z,108.4862923076923
8bec6004-5b38-4166-8cea-931799c9e0a1,ALAKOVA,154,YEDEK-1,P,2026-04-20T00:00:00.000Z,153.84966734555329
617ccbc2-a758-406b-8235-40fee54b5dbf,BAGLUM,380,sOTR_3,P,2026-04-20T00:00:00.000Z,104.08279708973323
1064bcf0-b81d-4945-adee-2e4f81560d5c,BAGLUM,380,sOTR_1,P,2026-04-20T00:00:00.000Z,100.92871183916607
212c54d2-3f7d-401d-b5a0-6ad9aa08977d,BAGLARRE,154,KONYAKZY,P,2026-04-19T23:50:00.000Z,108.56103448275861
539d7f26-673c-4250-bd64-1aaa6dc5bf82,ERCIYESR,154,YESILHIS,P,2026-04-20T00:00:00.000Z,59.78959918478262
353deb9a-be6c-4437-9c17-1555cab193ea,CAYIRHAN,154,NALLIHAN,P,2026-04-20T00:00:00.000Z,121.00122181818186
febcd272-662f-4636-ac8e-b85e3627a279,KAYAS1TM,154,MAMAK4,P,2026-04-20T00:00:00.000Z,94.50587709497206
aca9ccbc-b1dc-4ba4-9eb0-b9704e9a0320,KAYAS,154,AKKOPRU,P,2026-04-20T00:00:00.000Z,94.18195546950628
b8821e4a-6ab3-4616-a906-f31b64a960fe,CAMLICA,154,YESILHIS,P,2026-04-20T00:00:00.000Z,61.660014760147604
6ea834b2-3814-43d8-ad37-ebd3481a65bc,BAGLUM,380,sOTR_4,P,2026-04-20T00:00:00.000Z,91.77855102040816
30c63a39-0580-4197-9d53-1c826d5d71ac,YAHYALBE,154,OKSUT,P,2026-04-20T00:00:00.000Z,56.51267929634642
6f8cded7-5c7f-42f6-a067-0a0c4f220a26,KAYAS,154,IMRAHOR1,P,2026-04-19T23:59:00.000Z,93.23943548387099
132f4e92-c9eb-40ff-ba8a-1e07734f5b69,OKSUTTM,154,SENDREME,P,2026-04-20T00:00:00.000Z,60.33220458553792
6e6caf40-b16a-440a-950e-1ffaea1e19c2,IMRAHOR,154,YILDIZ,P,2026-04-20T00:00:00.000Z,93.13893732970027
7e4acbba-fd64-4158-9c5e-eb8174e55b86,IMRAH101,154,YILDIZ,P,2026-04-20T00:00:00.000Z,93.1423365122616
06bca4c1-01ce-4925-9014-85c44e7e713d,KAYAS1TM,154,IMRAHOR1,P,2026-04-19T23:59:00.000Z,92.62045112781955
1353d19a-b0b5-45a1-8741-7d03cc8bc984,ANKARA-2,400,BAGLUM,P,2026-04-20T00:00:00.000Z,-227.9272658402204
de538b99-bb59-4df3-abe5-85d296cadc4e,AKYEL-1,154,TEKSINGE,P,2026-04-20T00:00:00.000Z,57.76298149417409
feb2268a-b3f1-4a2d-ae7a-671f238a62b5,TEKSINGE,154,KARAMANO,P,2026-04-20T00:00:00.000Z,58.934186521443166
8fb405a1-5b54-4745-a37e-6df1248e5417,BAGLUM,154,MACUNKO2,P,2026-04-20T00:00:00.000Z,72.94263586956522
3f6e7439-477d-4421-aee1-bc3472239c9e,HADIM,154,GUNEYSIN,P,2026-04-19T23:59:00.000Z,62.40256
03bf0499-0261-4a1e-b9db-15315cc1233f,KARMNBES,154,AYRANCI,P,2026-04-19T23:59:00.000Z,66.5965934065934
7166be3f-059c-4162-b684-339d9d121809,DERINKUY,154,AKSRYOSB,P,2026-04-20T00:00:00.000Z,69.01352141400407
ecd7615e-572c-447c-ab19-09f35efe72f2,ATAKALE,154,WINDFARM,P,2026-04-20T00:00:00.000Z,64.15915875169607
ff2e4fa3-7c67-44e0-92df-a1892fae6718,ANKARA-2,154,ERYAMAN,P,2026-04-20T00:00:00.000Z,71.3339918533605
b8e26615-e99c-4755-8c61-a5f88ac8b0a1,K.EREGLI,154,KARAPINA,P,2026-04-20T00:00:00.000Z,47.07356900067981
d51a6a2e-e5bb-41f1-8ad9-45c86fd9dae6,GUNEYSNR,154,CUMRA,P,2026-04-20T00:00:00.000Z,56.34447171097477
e33588f7-d29c-4af5-9051-c9021c8b1fb4,GEYCEK,154,WINDFARM,P,2026-04-20T00:00:00.000Z,43.90262980445044
da25ae1b-f343-4182-9178-0a63a004d08d,TEMELLI,154,UMITKOY2,P,2026-04-20T00:00:00.000Z,56.125703602991166
9fedaf64-92fa-462d-ab61-633a073eed53,G4_BOR-3,154,Plnt_avP,P,2026-04-20T00:00:00.000Z,20.355530303030303
668d2547-88d8-4283-a4eb-c34cad4109ca,GEYCEK,154,AVANOS-2,P,2026-04-20T00:00:00.000Z,36.99518417462483
af155940-1196-42d7-bf54-13874fc22d8d,BAGLUM,154,HASKOY-1,P,2026-04-20T00:00:00.000Z,74.80412894375858
dbd700a7-3ea7-4b44-a0ea-19cd94bea97f,SIZIR,154,KAYSRKAP,P,2026-04-20T00:00:00.000Z,63.04993885869566
f4e5852d-f279-4a40-8e7c-645613465f1c,BAGLARRE,154,WINDFARM,P,2026-04-20T00:00:00.000Z,81.98731109598366
4cf3d059-c3d0-4503-980c-b5888cc82cd6,CINKUR,154,KAYSERI3,P,2026-04-20T00:00:00.000Z,61.91099864130436
e8f68226-3b4a-4ecb-96d2-98d631ace25a,KARGIHS,154,CAYIRHAN,P,2026-04-20T00:00:00.000Z,60.260647058823515
06ce0587-81ec-440d-81ec-09a55c95550d,AKSURES,154,CAMLICA,P,2026-04-20T00:00:00.000Z,35.54745730550284
f49e376b-05e6-4370-8fae-9acac97dffa0,KEPEZKAY,154,HADIM,P,2026-04-20T00:00:00.000Z,53.89842498302783
6f2d5870-4c91-40c9-b0a1-0b01e4ac4720,ATAKALE,154,Plnt_avP,P,2026-04-19T23:59:00.000Z,44.48879356568364
4c9c2e4a-fca1-43a2-a715-cb0052d3a1b3,YESILHIS,154,NIGDE,P,2026-04-20T00:00:00.000Z,66.51777551020409
a2f87c82-7d4a-45ca-b8ba-26b77918d0d6,KONYAKZY,154,SELCUKLU,P,2026-04-20T00:00:00.000Z,69.22851674641149
39eeadf3-8671-4e13-99af-04870e571527,OYAK1GES,154,BEYPAZAR,P,2026-04-20T00:00:00.000Z,71.24127310061601
4e43b115-fa25-4414-924f-1f24528df3a5,ANKARA-2,154,OYAK1GES,P,2026-04-20T00:00:00.000Z,67.84364562118127
617042b4-6d61-41ae-953d-a11f3300884a,TEMELLI,154,INCEK,P,2026-04-20T00:00:00.000Z,39.41451020408163
f6d0b17a-d385-4da1-a256-27a7c623d07e,NALLIHAN,154,MUDURNU,P,2026-04-20T00:00:00.000Z,44.34003092783505
88862231-80ea-44d6-8680-5b29f44e40d0,MALTEPE,154,BALGAT,P,2026-04-20T00:00:00.000Z,52.520306539509534
6864f3b3-6ebb-4ad9-a270-d41cdb3da430,YOZGAT,154,YIBITAS,P,2026-04-20T00:00:00.000Z,46.24620244565217
16418829-235c-40e1-9d55-8b44be7ca3e3,YAHYALBE,154,WINDFARM,P,2026-04-20T00:00:00.000Z,43.08180592991914
ddcd0f8c-c0df-48cb-b925-7c9366aee45b,TEMELLI,380,SINCAN,P,2026-04-20T00:00:00.000Z,-309.45452510176386
4fb4bea3-a74f-4b04-99b5-ff2e37718e44,KARATAY,154,ALAKOVA,P,2026-04-20T00:00:00.000Z,59.339133064516126
2cac7a90-c600-419a-a8b5-f73bb08f607a,CAMLICA,154,ERCIYESR,P,2026-04-20T00:00:00.000Z,43.12811265544989
3a561722-4f4a-4a89-a2ce-aa7c8174dcdb,TEMELLI,380,sOTR_1,P,2026-04-20T00:00:00.000Z,60.64884528301886
f3221cc4-678c-47b1-ab39-f13ed30c4ac2,TEMELLI,380,sOTR_3,P,2026-04-20T00:00:00.000Z,68.60019888623707
2ce004bc-298b-4d77-a278-6679a0ea802d,TEMELLI,154,POLATLI1,P,2026-04-20T00:00:00.000Z,13.308959183673473
a21a2051-69ca-4246-a4e6-083d9761024b,ANKARA-2,154,UMITKOY,P,2026-04-20T00:00:00.000Z,59.42987771739131
9d004b57-f621-4d7d-8150-0dff7232bbde,YAHYALBE,154,Plnt_avP,P,2026-04-20T00:00:00.000Z,40.58298719772404
