"Hat ID";"Hat Adi";"YTM";"kV";"Baslangic TM";"Bitis TM";"SCADA ID";"Durum";"Neden";"Kaynak Zaman";"Aktif Guc (MW)";"Yuklenme (%)";"Kapasite (MVA)";"Stale Durumu";"Kaynak TM";"Kaynak Uzak Uc"
"4200";"154kV BALGAT - ÇİĞDEM EİH";"Orta Anadolu YTM";"154";"BALGAT";"ÇİĞDEM";"da272915-d3df-4987-ad7c-fce319a2b88e";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"-25,02";"10,01";"250";"live";"CIGDEM";"BALGAT"
"4221";"154kV NİĞDE - NİĞDE ÇİMSA EİH";"Orta Anadolu YTM";"154";"NİĞDE";"NİĞDE ÇİMSA";"30728d8e-19d0-4780-b549-c9179796476a";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"-9,32";"2,74";"340";"live";"NIGDECIM";"NIGDETM"
"4243";"154kV POLATLI - DDY KOCAHACILI EİH";"Orta Anadolu YTM";"154";"POLATLI";"DDY KOCAHACILI";"6fb1efd1-3862-425f-9618-1c50db2a6d6a";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"-30,85";"9,07";"340";"live";"POLATLI";"DDYKOCAH"
"4293";"154kV KAYSERİ3 - KAYSERİ1 EİH";"Orta Anadolu YTM";"154";"KAYSERİ3";"KAYSERİ1";"68111e02-ae43-4b3b-bf01-9dfe3bb206d6";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"32,78";"13,11";"250";"live";"KAYSER3";"KAYSERI1"
"4294";"154kV KAYSERİ2 - KAYSERİ1 EİH";"Orta Anadolu YTM";"154";"KAYSERİ2";"KAYSERİ1";"b8b2be55-ef3e-4d03-81cf-23f1c1c8b5ce";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"40,46";"22,48";"180";"live";"KAYSERI2";"KAYSERI1"
"4295";"400kV KIRIKKALE DGKÇ - KAYABAŞI EİH";"Orta Anadolu YTM / Orta Karadeniz YTM";"400";"KIRIKKALE DGKÇ";"KAYABAŞI";"771b84d0-2a37-49a1-9627-2643eb56eff6";"matched-stale";"Kaynak satir bulundu ancak veri stale durumunda.";"20.04.2026 00:38:00";"-312,05";"11,87";"2630";"warn";"KIRIKDG";"KAYABASI"
"4297";"154kV TÜMOSAN - ORTAKÖY EİH";"Orta Anadolu YTM";"154";"TÜMOSAN";"ORTAKÖY";"96ed450d-a88a-4e1e-9ad1-fdca024853e4";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"23,00";"6,76";"340";"live";"TUMOSAN";"ORTAKOY"
"4317";"154kV BAĞLUM - MACUNKÖY - I EİH";"Orta Anadolu YTM";"154";"BAĞLUM";"MACUNKÖY";"56a20782-c553-4afe-8448-25c7aa5d2053";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"-59,65";"17,54";"340";"live";"MACUNKOY";"BAGLUM1"
"4318";"154kV BAĞLUM - OVACIK - I EİH";"Orta Anadolu YTM";"154";"BAĞLUM";"OVACIK";"3c224e88-6952-4236-8700-5ba238495dd0";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"-31,98";"9,41";"340";"live";"OVACIK";"BAGLUM-1"
"4320";"154kV BAĞLUM - OVACIK - II EİH";"Orta Anadolu YTM";"154";"BAĞLUM";"OVACIK";"874ebb8c-e3eb-4cd1-b512-c318ef8d1281";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"-32,65";"9,60";"340";"live";"OVACIK";"BAGLUM-2"
"4321";"154kV ESENBOĞA - AKYURT EİH";"Orta Anadolu YTM";"154";"ESENBOĞA";"AKYURT";"129be331-395d-4b83-a2e9-0832fdee5b0a";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"8,76";"3,50";"250";"live";"ESENBOGA";"AKYURT"
"4322";"154kV KALECİK - AKYURT EİH";"Orta Anadolu YTM";"154";"KALECİK";"AKYURT";"42c17057-c20a-4a39-ba79-c7e12fb1866f";"matched-stale";"Kaynak satir bulundu ancak veri stale durumunda.";"20.04.2026 00:38:00";"14,87";"5,95";"250";"warn";"KALECIK";"AKYURT"
"4357";"154kV KIRŞEHİR - YERKÖY EİH";"Orta Anadolu YTM";"154";"KIRŞEHİR";"YERKÖY";"beba1faa-d52b-48ef-82ce-b394e23b63cb";"matched-live";"Kaynak satir tekil olarak hatta eslesti.";"20.04.2026 00:39:00";"26,84";"14,91";"180";"live";"YERKOY";"KIRSEHIR"
