"Sıra";"Hat Adı";"kV";"km";"Başlangıç TM";"Bitiş TM";"Aktif Güç (MW)";"Yüklenme (%) [Kış]";"Kapasite (MVA)";"Son Veri Zamanı";"SCADA ID"
"1";"154kV ÇUMRA - DİANA OTEL GES EİH";"154";"24,5";"ÇUMRA";"DİANA OTEL GES";"144,46";"80,26";"180";"20.04.2026 00:02:00";"f866e230-93ae-41fa-87da-3a79d088fb32"
"2";"400kV ADAPAZARI - ÇAYIRHAN TES EİH";"400";"138,5";"ADAPAZARI";"ÇAYIRHAN TES";"980,38";"68,08";"1440";"20.04.2026 00:02:00";"ff50afeb-aed7-4688-b07f-1d0414087907"
"3";"400kV GÖKÇEKAYA HES - GÖLBAŞI EİH";"400";"167,6";"GÖKÇEKAYA HES";"GÖLBAŞI";"773,53";"53,72";"1440";"20.04.2026 00:02:00";"312b6d76-8e96-44e9-98e9-986a3b495d62"
"4";"400kV OSMANCA - SİNCAN EİH";"400";"174,5";"OSMANCA";"SİNCAN";"1007,41";"46,21";"2180";"20.04.2026 00:02:00";"64a14f61-8090-4eee-b371-8a7e89c7fa16"
"5";"400kV ÇAYIRHAN TES - SİNCAN EİH";"400";"77,7";"ÇAYIRHAN TES";"SİNCAN";"625,65";"43,45";"1440";"20.04.2026 00:02:00";"b50407e1-bc2d-4fb8-8535-f297415bbd7e"
"6";"400kV BAĞLUM - KAYABAŞI EİH";"400";"265,5";"BAĞLUM";"KAYABAŞI";"-797,43";"36,58";"2180";"20.04.2026 00:02:00";"1665f084-81de-418c-ad22-29708aac5433"
"7";"400kV AKSA GÖYNÜK TES - GÖKÇEKAYA HES EİH";"400";"33,2";"AKSA GÖYNÜK TES";"GÖKÇEKAYA HES";"513,92";"35,69";"1440";"20.04.2026 00:02:00";"ee95eda4-a026-4646-aa87-f05ef33d1dfd"
"8";"154kV ALİBEY HÖYÜĞÜ - ÇUMRA EİH";"154";"11,3";"ALİBEY HÖYÜĞÜ";"ÇUMRA";"62,71";"34,84";"180";"20.04.2026 00:02:00";"fd212a25-759b-4219-83ed-2a2b322ee9d9"
"9";"154kV BAĞLUM - HASKÖY - I EİH";"154";"13,6";"BAĞLUM";"HASKÖY";"-80,31";"32,12";"250";"20.04.2026 00:02:00";"071d0d66-3fb1-468f-8390-7573636745a5"
"10";"154kV ALİBEY HÖYÜĞÜ - SEYDİŞEHİR (YENİ) EİH";"154";"74,4";"ALİBEY HÖYÜĞÜ";"SEYDİŞEHİR (YENİ)";"56,73";"31,52";"180";"20.04.2026 00:02:00";"ed4081b7-128b-49d5-b693-10329488a1ca"
"11";"154kV ÇUMRA - GÜNEYSINIR EİH";"154";"30,3";"ÇUMRA";"GÜNEYSINIR";"98,96";"29,10";"340";"20.04.2026 00:02:00";"d51a6a2e-e5bb-41f1-8ad9-45c86fd9dae6"
"12";"154kV DERİNKUYU - AKSARAY OSB EİH";"154";"73,6";"DERİNKUYU";"AKSARAY OSB";"92,64";"27,25";"340";"20.04.2026 00:02:00";"7166be3f-059c-4162-b684-339d9d121809"
"13";"154kV SİNCAN - BAĞLICA EİH";"154";"17,5";"SİNCAN";"BAĞLICA";"66,92";"26,77";"250";"20.04.2026 00:02:00";"3a8b70c0-ecdb-47b5-941d-b28d9d11c3b3"
"14";"400kV SİNCAN - BAĞLUM EİH";"400";"26,6";"SİNCAN";"BAĞLUM";"-582,06";"26,70";"2180";"20.04.2026 00:02:00";"1353d19a-b0b5-45a1-8741-7d03cc8bc984"
"15";"154kV BOR - TOROSLAR EİH";"154";"55,1";"BOR";"TOROSLAR";"-88,83";"26,13";"340";"20.04.2026 00:02:00";"97adb5ba-13ad-4c3c-97cb-d02dd34d25cb"
"16";"400kV BOZOK - REŞADİYE EİH";"400";"223,4";"BOZOK";"REŞADİYE";"-628,68";"23,90";"2630";"20.04.2026 00:02:00";"fb82c106-3d46-4314-a393-c60cd3687e75"
"17";"400kV GÖLBAŞI - SİNCAN EİH";"400";"33,9";"GÖLBAŞI";"SİNCAN";"-579,54";"22,04";"2630";"20.04.2026 00:02:00";"95963c3b-0f13-48c2-a368-0d045d37d93a"
"18";"400kV ESKİŞEHİR3 - GÖKÇEKAYA HES EİH";"400";"61,0";"ESKİŞEHİR3";"GÖKÇEKAYA HES";"315,72";"21,77";"1450";"20.04.2026 00:02:00";"fd027666-1f39-4780-bc1f-486aad687a27"
"19";"154kV BEYPAZARI - ETİ SODA EİH";"154";"11,3";"BEYPAZARI";"ETİ SODA";"-50,19";"20,08";"250";"20.04.2026 00:02:00";"e161309a-e3a4-4d76-bb71-394082c792cb"
"20";"400kV İÇ ANADOLU DGKÇ - BOZOK EİH";"400";"147,2";"İÇ ANADOLU DGKÇ";"BOZOK";"-517,91";"19,69";"2630";"20.04.2026 00:02:00";"48d87d71-7ed7-4ae5-88a0-e324067272f8"
"21";"154kV AKDAĞ MADENİ - ARTOVA ÇİMENTO EİH";"154";"65,7";"AKDAĞ MADENİ";"ARTOVA ÇİMENTO";"-35,33";"19,63";"180";"20.04.2026 00:02:00";"f9570166-51e2-4ca6-b100-b08e77fd0fb3"
"22";"154kV BALGAT - ÇİĞDEM EİH";"154";"5,2";"BALGAT";"ÇİĞDEM";"-48,20";"19,28";"250";"20.04.2026 00:02:00";"da272915-d3df-4987-ad7c-fce319a2b88e"
"23";"154kV BOR - BOR OSB EİH";"154";"6,2";"BOR";"BOR OSB";"-62,58";"18,41";"340";"20.04.2026 00:02:00";"7626a510-3d75-49d7-82cc-d3acef11199c"
"24";"154kV İMRAHOR - ÇİĞDEM EİH";"154";"22,8";"İMRAHOR";"ÇİĞDEM";"45,38";"18,15";"250";"20.04.2026 00:02:00";"cd22d782-04c2-4cc0-b93f-dba5892553b1"
