"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"1";"400kV AKSA GÖYNÜK TES -> GÖYNÜK - ADAPAZARI EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"771,69";"-64,44";"53,59";"4dd216cd-e7ed-4b05-8cb5-4b0d221378bf";"41e10097-19fc-4781-b79d-e2365c89d439";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"771.68"
"2";"400kV ADAPAZARI -> GÖYNÜK - AKSA GÖYNÜK TES EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"-736,21";"118,03";"51,13";"73371930-0ed1-4392-be63-1033343c1953";"9fe05990-78c8-4abe-95d4-4b9e16c4ce82";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-736.49"
"3";"400kV KANGAL TES - DEÇEKO EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"924,14";"-105,80";"42,39";"016fa5af-f7db-4573-8b57-2fd7c19c810e | 38861404-c1d8-4091-b822-a960d8910b56";"8f5f318c-550f-4b67-95c8-94c75d932c07 | 5fd1f0e4-e421-42c6-9626-8ecaa8c132ec";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"923.97"
"4";"400kV GÜRAĞAÇ - SEYİTÖMER TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"-612,77";"";"42,26";"0dc53a47-6adb-413c-a6c8-c091fc28955f | 3dfdee6a-3aea-4346-bc44-9e4a2da5610e";"239c31f5-e41f-44c1-89c2-3643d8ca3af6 | 30616098-afa8-4d27-abc6-009270170585";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-613.56 | 637.68"
"5";"400kV KAYABAŞI - DEÇEKO EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"-886,69";"106,68";"40,67";"e80da1cf-9bcb-46fa-8067-e89504151259 | 47826f6f-1bdf-4f63-a9c1-fbca3a0f6ad1";"fde0cf86-a262-4cea-b0c6-54a8cea779fd | 46480544-a5b6-4307-883b-3df70a4e652e";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-886.54"
"6";"400kV KURŞUNLU - KAYABAŞI EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"-879,09";"-176,29";"40,33";"7bca3d04-3a64-453d-bd26-6238a4ee417f | 715fe227-bae5-4538-80bd-b9181ed59594";"cbdf16d0-eaee-408a-9ff3-85815c927660 | b538ad62-f632-4234-8eec-aa41d3a26ce5";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-879.17"
"7";"400kV SEYİTÖMER TES - AFYON2 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"527,89";"-18,58";"36,41";"2bf6fc4f-8480-491e-9556-e63002e16a0f | 3b8a7fca-a7fa-4c1f-92f5-777a54e6ddbf";"290b8010-8dee-4fe1-956d-026e9588d2cf | b6e6bdea-a4ad-4700-ab20-62577d93a092";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"528.34"
"8";"400kV TEPEÖREN - KOCAELİ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"-516,53";"106,72";"35,62";"08e766d7-cff7-4353-ab8c-023af54330a9 | d8a4a161-c1f7-4045-8311-481b238b6550";"0f311ca3-58ec-4b1a-b1b1-430f5a4710f0 | 46a5cf09-ce11-4cbd-a9fa-b41e0df742a1";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-529.80"
"9";"400kV İKİTELLİ - HABİBLER EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"-753,81";"37,00";"34,58";"45a1ede5-5d37-4762-8086-41de7e5ea8ef";"0653913e-df82-44b9-926b-8d0094999fa5";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-753.96"
"10";"400kV ATATÜRK HES - HİLVAN EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"2";"1";"749,33";"-27,85";"34,37";"d8f59b39-4d83-4a65-966a-9937e75a54ae | 910bb58f-a0a0-4e71-952d-db328ba5ab4f";"17b1739b-d32f-4f25-9009-c5e8d239b3b4 | 9eac6627-938e-4d08-845d-232f007f5faf";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"748.86"
