ID;SİSTEM TÜRÜ;TRAFO MERKEZİ;HAT Adı;HAT ID;ANALOG ÖLÇÜM;ÖLÇÜM NOKTASI ID;ÖLÇÜM NOKTASI FORMÜLASYONU
23240;SCADA;ADATOPRAKPINAR;154kV KOCAHACILI - ADATOPRAKPINAR EİH;5259;Reaktif Güç (MVAr);bca89f0b-f09e-4650-b86b-e71949fc68c1;(+1) ADATOPRK, 154, DDYKOCAH, Q
23677;SCADA;TEMELLİ;400kV ADA1 DGKÇ - TEMELLİ EİH;2179;Aktif Güç (MW);a58ac8fc-5b4e-45af-8aac-1840ce2efa0a;(+1) TEMELLI, 380, GEBZE-DG, P
23678;SCADA;TEMELLİ;400kV ADA1 DGKÇ - TEMELLİ EİH;2179;Reaktif Güç (MVAr);46eea6b4-0daa-4c93-82a2-e2a55ff7c4ed;(+1) TEMELLI, 380, GEBZE-DG, Q
26265;SCADA;ÇAYIRHAN TES;400kV ADAPAZARI - ÇAYIRHAN TES EİH;2182;Reaktif Güç (MVAr);0a053a14-8d68-4c8d-9d02-6f0b914b918c;(+1) CAYIRHA, 380, ADA-2, Q
26320;SCADA;ÇAYIRHAN TES;400kV ADAPAZARI - ÇAYIRHAN TES EİH;2182;Aktif Güç (MW);ff50afeb-aed7-4688-b07f-1d0414087907;(+1) CAYIRHA, 380, ADA-2, P
26083;SCADA;BEYPAZARI;154kV ÇAYIRHAN TES - BEYPAZARI EİH;2213;Reaktif Güç (MVAr);c58a51c4-9423-4165-bd12-3ec34c22748c;(+1) BEYPAZAR, 154, CAYIRHAN, Q
26082;SCADA;BEYPAZARI;154kV ÇAYIRHAN TES - BEYPAZARI EİH;2213;Aktif Güç (MW);32d464a6-ed71-4877-abe5-811121c8ebfe;(+1) BEYPAZAR, 154, CAYIRHAN, P
26478;SCADA;ÇAYIRHAN TES;154kV ÇAYIRHAN TES - BEYPAZARI EİH;2213;Aktif Güç (MW);4ed9bbb3-fe69-42f0-b235-e40bdda415c0;(+1) CAYIRHA, 154, BEYPAZAR, P
26486;SCADA;ÇAYIRHAN TES;154kV ÇAYIRHAN TES - BEYPAZARI EİH;2213;Reaktif Güç (MVAr);b25c4a9e-9f2c-4727-9c0f-dd1ccaf8a31a;(+1) CAYIRHA, 154, BEYPAZAR, Q
25513;SCADA;BAĞLUM;400kV SİNCAN - BAĞLUM EİH;2224;Reaktif Güç (MVAr);bfe58fed-1ca2-42d9-8c71-01aaed416e7d;(+1) BAGLUM, 380, SINCAN, Q
25509;SCADA;BAĞLUM;400kV SİNCAN - BAĞLUM EİH;2224;Aktif Güç (MW);01996321-dd3b-4855-93d8-e8ac5765dd1c;(+1) BAGLUM, 380, SINCAN, P
42004;SCADA;SİNCAN;400kV SİNCAN - BAĞLUM EİH;2224;Reaktif Güç (MVAr);e81f44be-34e4-43a0-9898-a11537c57916;(+1) SINCAN, 400, BAGLUM, Q
42005;SCADA;SİNCAN;400kV SİNCAN - BAĞLUM EİH;2224;Aktif Güç (MW);1353d19a-b0b5-45a1-8741-7d03cc8bc984;(+1) SINCAN, 400, BAGLUM, P
25890;SCADA;BALGAT;154kV SİNCAN - BALGAT EİH;2226;Aktif Güç (MW);203725e2-8d63-4eaa-92cd-219c48583b6c;(+1) BALGAT, 154, SINCAN, P
25892;SCADA;BALGAT;154kV SİNCAN - BALGAT EİH;2226;Reaktif Güç (MVAr);23390dc2-9364-4d38-b88b-e7120b30c18b;(+1) BALGAT, 154, SINCAN, Q
41984;SCADA;SİNCAN;154kV SİNCAN - BALGAT EİH;2226;Reaktif Güç (MVAr);f4110de9-191f-43a0-bd72-72a115b8985a;(+1) SINCAN, 154, BALGAT, Q
41985;SCADA;SİNCAN;154kV SİNCAN - BALGAT EİH;2226;Aktif Güç (MW);902e267d-5137-4b33-bb3f-387f2cb17971;(+1) SINCAN, 154, BALGAT, P
