GERILIM REFERANS DEGERI ILETILEN BARANIN ADI:;ACWA_KIRIKKALE_DGKC;;;;;;;;
ILGILI BIRIMIN UNITELERININ NOMINAL AKTIF GUCU(Pnom):;295,7;295,7;336;;;;;;
ILGILI BIRIMIN UNITELERININ ASIRI VE DUSUK ZORUNLU MVAR DEGERLERI (MVAR):;183,258;-97,192;183,258;-97,192;208,234;-110,438;;;
VARSA ILGILI ANLASMA DAHILINDE SENKRON KOMPANSATOR HIZMET VEREBILEN UNITELERIN SENKRON KOMPASATOR DURUMUNDAKI ZORUNLU MVAR DEGERLERI (MVAR):;0;;;;;;;;
TARIH;SAAT;SIRA_NO;BARA_GER_kV;BARA_GER_SET_DEG_kV;TOP_REAKT_CIK_GUCU_MVAr;UEVCB_1_BIRIM_MKUD_MW;UNI_11_GEN_TER_AKT_CIK_GUCU_MW;UNI_12_GEN_TER_AKT_CIK_GUCU_MW;UNI_10_GEN_TER_AKT_CIK_GUCU_MW
13.04.2026;00:00:00;1;408,576;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:01:00;2;402,534;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:02:00;3;401,365;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:03:00;4;402,93;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:04:00;5;403,267;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:05:00;6;402,639;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:06:00;7;404,001;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:07:00;8;404,662;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:08:00;9;405,559;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:09:00;10;403,851;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:10:00;11;404,192;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:11:00;12;403,942;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:12:00;13;403,102;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:13:00;14;402,351;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:14:00;15;402,421;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:15:00;16;394,276;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:16:00;17;402,025;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:17:00;18;400,498;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:18:00;19;399,778;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:19:00;20;402,324;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:20:00;21;405,439;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:21:00;22;403,506;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:22:00;23;404,288;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:23:00;24;405,44;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:24:00;25;406,824;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:25:00;26;409,185;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:26:00;27;409,656;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:27:00;28;409,096;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:28:00;29;409,119;404;-0,975;460;-0,78;-1,313;-0,073
13.04.2026;00:29:00;30;411,586;404;-0,975;460;-0,78;-1,313;-0,303
13.04.2026;00:30:00;31;407,795;404;-0,975;460;-0,78;-1,313;-0,303
13.04.2026;00:31:00;32;408,195;404;-0,975;460;-0,78;-1,313;-0,303
13.04.2026;00:32:00;33;410,369;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:33:00;34;410,577;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:34:00;35;412,969;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:35:00;36;411,268;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:36:00;37;410,853;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:37:00;38;412,997;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:38:00;39;412,591;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:39:00;40;413,417;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:40:00;41;414,557;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:41:00;42;410,973;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:42:00;43;412,562;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:43:00;44;410,621;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:44:00;45;411,795;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:45:00;46;413,725;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:46:00;47;412,762;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:47:00;48;413,13;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:48:00;49;412,621;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:49:00;50;413,408;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:50:00;51;412,767;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:51:00;52;412,378;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:52:00;53;415,317;404;-1,057;460;-0,78;-1,362;-0,303
13.04.2026;00:53:00;54;413,177;404;-1,057;460;-0,78;-1,362;-0,303
