sep=;
Tarih;Saat;Eşleşen DK;Ek-C Değerlendirme;YKS Değerlendirme;Ek-C K.Y (%);YKS K.Y (%);Gerilim Karşılaştırma - YKS V Ort;Gerilim Karşılaştırma - EK-C V Ort;Gerilim Karşılaştırma - Fark dV;Gerilim Karşılaştırma - Max dV;Aktif Güç Karşılaştırma - YKS P Ort;Aktif Güç Karşılaştırma - EK-C P Ort;Aktif Güç Karşılaştırma - Fark dP;Aktif Güç Karşılaştırma - Max dP;Reaktif Güç Karşılaştırma - YKS Q Ort;Reaktif Güç Karşılaştırma - EK-C Q Ort;Reaktif Güç Karşılaştırma - Fark dQ;Reaktif Güç Karşılaştırma - Max dQ;Hibrit P Karşılaştırma - YKS Hibrit P;Hibrit P Karşılaştırma - EK-C Hibrit P;Hibrit P Karşılaştırma - Fark dHP;Hibrit P Karşılaştırma - Max dHP
2026-05-01;00:00;60;SAGLADI / OK 59 / FAIL 0 / DD 0 / YY 0 / KY 1;SAGLADI / OK 60 / FAIL 0 / DD 0 / YY 0 / KY 0;98,33%;100,00%;157,91;158,18;0,42;1,08;41,76;42,31;0,54;0,87;-15,63;-15,38;0,48;3,07;0,00;0,00;0,00;0,00
2026-05-01;01:00;60;SAGLADI / OK 44 / FAIL 0 / DD 0 / YY 0 / KY 16;SAGLADI / OK 60 / FAIL 0 / DD 0 / YY 0 / KY 0;73,33%;100,00%;157,96;158,10;0,32;0,98;41,73;42,30;0,57;0,90;-15,80;-15,66;0,35;1,47;0,00;0,00;0,00;0,00
2026-05-01;02:00;60;SAGLADI / OK 34 / FAIL 0 / DD 0 / YY 0 / KY 26;SAGLADI / OK 60 / FAIL 0 / DD 0 / YY 0 / KY 0;56,67%;100,00%;158,11;158,34;0,37;1,13;41,69;42,18;0,49;1,01;-15,98;-15,70;0,44;1,63;0,00;0,00;0,00;0,00
2026-05-01;03:00;60;KY / OK 0 / FAIL 0 / DD 0 / YY 0 / KY 60;SAGLADI / OK 55 / FAIL 5 / DD 0 / YY 0 / KY 0;KY;91,67%;159,29;159,59;0,43;1,39;42,01;42,54;0,54;1,18;-15,19;-14,78;0,64;4,95;0,00;0,00;0,00;0,00
2026-05-01;04:00;60;DD / OK 0 / FAIL 0 / DD 58 / YY 2 / KY 0;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD;DD;159,99;160,42;0,57;3,10;0,89;0,27;0,62;26,93;0,23;0,00;0,24;0,41;0,00;0,00;0,00;0,00
2026-05-01;05:00;60;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD;DD;159,11;159,47;0,48;1,64;0,05;0,00;0,05;0,05;0,24;0,00;0,24;0,24;0,00;0,00;0,00;0,00
2026-05-01;06:00;60;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD;DD;161,49;161,93;0,54;1,41;0,05;0,00;0,05;0,05;0,24;0,00;0,24;0,24;0,00;0,00;0,00;0,00
2026-05-01;07:00;60;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD;DD;163,92;164,34;0,58;1,60;0,05;0,00;0,05;0,05;0,24;0,00;0,24;0,24;0,00;0,00;0,00;0,00
2026-05-01;08:00;60;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD;DD;162,11;162,31;0,41;1,48;0,05;0,00;0,05;0,05;0,24;0,00;0,24;0,24;0,00;0,00;0,00;0,00
2026-05-01;09:00;60;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD / OK 0 / FAIL 0 / DD 60 / YY 0 / KY 0;DD;DD;160,32;160,59;0,41;1,26;0,05;0,00;0,05;0,05;0,24;0,00;0,24;0,24;0,00;0,00;0,00;0,00
