sep=;
Kaynak;Veri Tipi;Ölçüm Zamanı;YTM;Santral;YKS İç Bara ID;Bara ID;Bara Adı;TPYS Set;Canlı Bara;Pgen MW;Qgen MVAr;Yardımcı Kaynak MW;Yardımcı Kaynak MVAr;Yardımcı D.İ. Limit;Yardımcı A.İ. Limit;D.İ. Limit;A.İ. Limit;Ana Onay;Yardımcı Onay
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:00:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,47;41,74;-16,05;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:01:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,66;41,72;-14,97;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:02:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,66;41,74;-13,7;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:03:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,78;-13,19;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:04:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,73;-11,56;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:05:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,65;-13,84;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:06:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,99;-14,56;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:07:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,55;-14,31;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:08:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,61;-14,2;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:09:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;156,87;41,95;-14,2;;;;;-13,896;26,208;"=""1""";
