BYTM;TPYS Bara ID;TPYS Bara Adı;YKS Bara Adı;YTBS Santral Adı;YTBS Trafo Merkezi ID;YTBS Trafo Merkezi Adı;Enlem;Boylam;KAYNAK TÜRÜ;İkincil Kaynakları;İli;Bara Tipi;Senkron Kompansatör Var mI?;EÜAŞ Protokol Var Mı?;Yan Hizmetler Analiz Platformu RGK Tipi;RGK TİPİ Açıklama;Bara Gerilim Seviyesi;SCADA RGK Tipi;OYS Bara ID;TPYS Santral İsmi;UEVCB Adı;TPYS UEVCB ID;Dengeleme Birimi mi?;TPYS Ünite MKÜD;TPYS Santral MKÜD;Ünite Adı;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı)
OA_YTM;6002;AKYEL-1 RES;AKYEL-1 RES;AKYEL 1 RES;1735;AKYEL 1 RES;36,961;33,469;Rüzgar;Güneş;Karaman;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;15283;AKYEL-1 RES;AKYEL-1 RES;3213030;0;;;Ünite 1-12;58,55;-;-19,24;19,24
OA_YTM;5902;BAĞLAR RES;BAĞLAR RES;BAĞLAR RES;1525;BAĞLAR RES;38,165;32,65;Rüzgar;Güneş;Konya;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;12183;BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.);BAĞLAR RES;3204190;0;;;ÜNİTE 1-24;100;-;-32,87;32,87
OA_YTM;6149;ERCİYES RES;ERCİYES RES;ERCİYES RES;1888;ERCİYES RES;37,97;35,471;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;20003;ERCİYES RES;ERCİYES RES;3221370;0;;;Ünite 1-16;78,6;-;-25,83;25,83
OA_YTM;5959;MUTLU RES 5;MUTLU RES 5;MUTLU5 RES;1720;MUTLU5 RES;38,154;32,561;Rüzgar;Güneş;Konya;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;14843;MUTLU RES 5;MUTLU RES 5;3211091;0;;;Ünite 1-13;81,2;-;-26,69;26,69
OA_YTM;4572;YAHYALI RES;YAHYALI RES;YAHYALI RES;1327;YAHYALI RES;38,179;35,468;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-2>> 25.09.2008 ile 02.01.2013 arası kV;154;WIND_BETWEEN_2008_2013_RES_KV;9623;YAHYALI RES (SE);YAHYALI RES(SE);3194130;0;;;Ünite 1-22;52,5;-;-17,26;17,26
OA_YTM;5532;ACWA KIRIKKALE DGKÇ;ACWA KIRIKKALE DGKÇ;KIRIKKALE DGKÇ;1387;KIRIKKALE DGKÇ;39,862;33,424;Doğal Gaz;;Kırıkkale;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;10721;ACWA KIRIKKALE;ACWA POWER KIRIKKALE DGKÇS;3197267;1;217;460;GT-2;295,7;127;-97,19;183,26
OA_YTM;5532;ACWA KIRIKKALE DGKÇ;ACWA KIRIKKALE DGKÇ;KIRIKKALE DGKÇ;1387;KIRIKKALE DGKÇ;39,862;33,424;Doğal Gaz;;Kırıkkale;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;10721;ACWA KIRIKKALE;ACWA POWER KIRIKKALE DGKÇS;3197267;1;217;460;GT-1;295,7;127;-97,19;183,26
OA_YTM;5532;ACWA KIRIKKALE DGKÇ;ACWA KIRIKKALE DGKÇ;KIRIKKALE DGKÇ;1387;KIRIKKALE DGKÇ;39,862;33,424;Doğal Gaz;;Kırıkkale;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;400;CONVENTIONAL_AFTER_1996;10721;ACWA KIRIKKALE;ACWA POWER KIRIKKALE DGKÇS;3197267;1;217;460;ST;336;120;-110,44;208,23
OA_YTM;2111;BAYMİNA 154;BAYMİNA 154;ANKARA DGKÇ;918;BAYMİNA DGKÇ;39,777;32,407;Doğal Gaz;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;97;ANKARA DGKÇS;ANKARA DGKÇS;3205527;1;220;440;ÜNİTE-ST;322;150;-105,84;199,56
OA_YTM;2111;BAYMİNA 154;BAYMİNA 154;ANKARA DGKÇ;918;BAYMİNA DGKÇ;39,777;32,407;Doğal Gaz;;Ankara;Konvansiyonel;;;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;154;CONVENTIONAL_AFTER_1996;97;ANKARA DGKÇS;ANKARA DGKÇS;3205527;1;220;440;ÜNİTE-GT1;255,6;150;-84,01;158,41
