GERILIM REFERANS DEGERI ILETILEN BARANIN ADI:;BAYRAMHACILI_154;;;;;;;;
ILGILI BIRIMIN UNITELERININ NOMINAL AKTIF GUCU(Pnom):;23,5;23,5;;;;;;;
ILGILI BIRIMIN UNITELERININ ASIRI VE DUSUK ZORUNLU MVAR DEGERLERI (MVAR):;14,56;-7,72;14,56;-7,72;;;;;
VARSA ILGILI ANLASMA DAHILINDE SENKRON KOMPANSATOR HIZMET VEREBILEN UNITELERIN SENKRON KOMPASATOR DURUMUNDAKI ZORUNLU MVAR DEGERLERI (MVAR):;0;;;;;;;;
TARIH;SAAT;SIRA_NO;BARA_GER_kV;BARA_GER_SET_DEG_kV;TOP_REAKT_CIK_GUCU_MVAr;UNI_1_BIRIM_MKUD;UNI_2_BIRIM_MKUD;UNI_1_GEN_TER_AKT_CIK_GUCU_MW;UNI_2_GEN_TER_AKT_CIK_GUCU_MW
01.05.2026;00:00:00;1;158,010;157,000;-15,237;14,100;14,100;20,784;21,521
01.05.2026;00:01:00;2;157,261;157,000;-13,575;14,100;14,100;20,637;21,742
01.05.2026;00:02:00;3;157,422;157,000;-13,722;14,100;14,100;20,752;21,510
01.05.2026;00:03:00;4;157,261;157,000;-10,123;14,100;14,100;20,731;21,594
01.05.2026;00:04:00;5;157,582;157,000;-13,658;14,100;14,100;20,910;21,647
01.05.2026;00:05:00;6;157,047;157,000;-14,248;14,100;14,100;20,889;21,478
01.05.2026;00:06:00;7;157,475;157,000;-14,164;14,100;14,100;20,594;21,573
01.05.2026;00:07:00;8;157,422;157,000;-14,038;14,100;14,100;20,731;21,647
01.05.2026;00:08:00;9;157,154;157,000;-14,143;14,100;14,100;20,689;21,573
01.05.2026;00:09:00;10;157,529;157,000;-14,017;14,100;14,100;20,858;21,584
01.05.2026;00:10:00;11;157,796;157,000;-15,153;14,100;14,100;20,773;21,521
01.05.2026;00:11:00;12;157,850;157,000;-15,111;14,100;14,100;20,615;21,615
01.05.2026;00:12:00;13;157,689;157,000;-15,006;14,100;14,100;20,731;21,594
01.05.2026;00:13:00;14;157,422;157,000;-14,311;14,100;14,100;20,668;21,542
01.05.2026;00:14:00;15;157,956;157,000;-14,943;14,100;14,100;20,900;21,594
01.05.2026;00:15:00;16;157,689;157,000;-14,395;14,100;14,100;20,731;21,678
01.05.2026;00:16:00;17;157,689;157,000;-14,437;14,100;14,100;20,889;21,678
01.05.2026;00:17:00;18;158,331;157,000;-15,069;14,100;14,100;20,689;21,436
01.05.2026;00:18:00;19;158,545;157,000;-15,637;14,100;14,100;20,879;21,636
01.05.2026;00:19:00;20;158,117;157,000;-15,595;14,100;14,100;20,689;21,489
01.05.2026;00:20:00;21;158,063;157,000;-15,722;14,100;14,100;20,879;21,626
01.05.2026;00:21:00;22;158,598;157,000;-16,142;14,100;14,100;20,521;21,668
01.05.2026;00:22:00;23;158,491;157,000;-16,669;14,100;14,100;20,647;21,521
01.05.2026;00:23:00;24;158,331;157,000;-16,290;14,100;14,100;20,910;21,489
01.05.2026;00:24:00;25;157,956;157,000;-15,575;14,100;14,100;20,752;21,615
01.05.2026;00:25:00;26;157,796;157,000;-14,964;14,100;14,100;20,731;21,457
01.05.2026;00:26:00;27;157,850;157,000;-14,943;14,100;14,100;20,805;21,647
01.05.2026;00:27:00;28;158,063;157,000;-15,447;14,100;14,100;20,721;21,636
