sep=;
Kaynak;Veri Tipi;Ölçüm Zamanı;YTM;Santral;YKS İç Bara ID;Bara ID;Bara Adı;TPYS Set;Canlı Bara;Pgen MW;Qgen MVAr;Yardımcı Kaynak MW;Yardımcı Kaynak MVAr;Yardımcı D.İ. Limit;Yardımcı A.İ. Limit;D.İ. Limit;A.İ. Limit;Ana Onay;Yardımcı Onay
"=""API""";"=""WIND""";"=""2026-04-27T00:00:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,91;4,96;0,53;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:01:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,09;4,96;0,58;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:02:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,83;3,97;0,63;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:03:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,04;3,97;0,6;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:04:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,14;3,97;0,6;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:05:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,52;2,98;0,61;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:06:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,29;3,97;0,47;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:07:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,14;3,97;0,61;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:08:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,24;3,97;0,46;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:09:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,45;3,97;0,59;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:10:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,14;4,96;0,5;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:11:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,4;4,96;0,46;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:12:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,3;3,97;0,8;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:13:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,99;2,98;0,72;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:14:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,4;2,98;0,65;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:15:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,24;2,98;0,63;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:16:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,35;2,98;0,72;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:17:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,6;2,98;0,63;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:18:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,71;4,96;0,67;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:19:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,45;3,97;0,67;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:20:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,09;4,96;0,39;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:21:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,73;3,97;0,63;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:22:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,83;3,97;0,6;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:23:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,04;1,98;0,41;;;;;;;;
