Ölçüm Zamanı;Bara Adı;Bara ID;Kurulu Güç;Pmkud;TPYS Bara Gerilim Set;TPYS Bara Gerilim Düşümü;Canlı Bara;Bara 1 Gerilim;Bara 1 Gerilim Kalite Detayı;Bara 2 Gerilim;Bara 2 Gerilim Kalite Detayı;Bara 3 Gerilim;Bara 3 Gerilim Kalite Detayı;Toplam Ünite Pgen Aktif (MW);Toplam Ünite Qgen Reaktif (MVAr);Toplam D.İ. MVar Limit;Toplam A.İ. MVar Limit;Devre Durumu;Yükümlülük Durumu;D.İ. MVAR Onay Durumu;A.İ. MVAR Onay Durumu;Onay Durum
"29 Nis 2026 00:59:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,41";"157,41";"Actual";"";null;"";null;"0,15";"5,81";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:58:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"156,88";"156,88";"Actual";"";null;"";null;"0,15";"5,17";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:57:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,64";"157,64";"Actual";"";null;"";null;"0,23";"5,81";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:56:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"156,86";"156,86";"Actual";"";null;"";null;"0,15";"5,17";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:55:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,09";"157,09";"Actual";"";null;"";null;"0,07";"5,17";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:54:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,09";"157,09";"Actual";"";null;"";null;"1,29";"5,81";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:53:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,09";"157,09";"Actual";"";null;"";null;"1,29";"5,17";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:52:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,31";"157,31";"Actual";"";null;"";null;"1,29";"5,17";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:51:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"158,38";"158,38";"Actual";"";null;"";null;"1,21";"5,73";"";"";"1";"0";"-";"-";"-"
"29 Nis 2026 00:50:00";"GEYCEK RES";5052;"";"17,22";"157,00";"2,00";"157,93";"157,93";"Actual";"";null;"";null;"1,21";"5,81";"";"";"1";"0";"-";"-";"-"
