Zaman;Seviye;Kategori;Route;Metot;URL;HTTP;Süre(ms);Mesaj;Detay;Job ID;Kaynak Tipi;Secili Bara ID;YKS Ic Bara ID;Saat Baslangic;Saat Bitis;Chunk Baslangic;Chunk Bitis;Hata Sinifi;Istek URL;API Satir;Metrik Bos Satir
1.05.2026 14:44;error;YKS;rgdh-monitor;;;;;YKS cekimi tamamlandi ancak normalize API kaydi olusmadi.;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""errorType"":""NO_NORMALIZED_ROWS"",""rowCounts"":{""conventionalRows"":""0"",""windRows"":""0"",""domRows"":""0"",""apiRows"":""0""}}}";;;;;;;;;NO_NORMALIZED_ROWS;;;
1.05.2026 14:44;error;API;rgdh-monitor;;;;;2026-05-01: tum aday RES/GES busbar id degerleri basarisiz: 10933818957, 5052;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""errorType"":""YKS_HOURLY_TIMEOUT"",""errorClass"":""YKS_HOURLY_TIMEOUT"",""source"":""WIND"",""busbarId"":""5052"",""internalBusbarId"":""10933818957"",""displayBusbarId"":""5052"",""localDate"":""2026-05-01"",""hourStart"":""2026-04-30T21:00:00Z"",""hourEnd"":""2026-04-30T22:00:00Z"",""failedHours"":""24"",""attemptedHours"":""24"",""requestUrl"":""https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957""}}";;WIND;5052;10933818957;2026-04-30T21:00:00Z;2026-04-30T22:00:00Z;;;YKS_HOURLY_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
1.05.2026 14:44;error;Normalize;rgdh-monitor;;;;;YKS cekimi tamamlandi ancak normalize API kaydi olusmadi.;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""errorType"":""NO_NORMALIZED_ROWS"",""rowCounts"":{""conventionalRows"":""0"",""windRows"":""0"",""domRows"":""0"",""apiRows"":""0""}}}";;;;;;;;;NO_NORMALIZED_ROWS;;;
1.05.2026 14:44;warn;Normalize;rgdh-monitor;;;;;API kaydi normalize edilmedi.;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""apiRows"":""0"",""domRows"":""0"",""metricSummary"":{""total"":""0"",""pgenMw"":""0"",""qgenMvar"":""0"",""diMvarLimit"":""0"",""aiMvarLimit"":""0"",""approvalStatus"":""0"",""auxiliaryMw"":""0"",""auxiliaryMvar"":""0"",""auxiliaryDiMvarLimit"":""0"",""auxiliaryAiMvarLimit"":""0"",""auxiliaryApprovalStatus"":""0"",""metricEmptyRows"":""0""},""rawFieldKeys"":[],""metricEmptyRows"":""0""}}";;;;;;;;;;;0;0
1.05.2026 14:44;error;WIND;rgdh-monitor;;;;;2026-05-01: tum aday RES/GES busbar id degerleri basarisiz: 10933818957, 5052;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""errorType"":""YKS_HOURLY_TIMEOUT"",""errorClass"":""YKS_HOURLY_TIMEOUT"",""source"":""WIND"",""busbarId"":""5052"",""internalBusbarId"":""10933818957"",""displayBusbarId"":""5052"",""localDate"":""2026-05-01"",""hourStart"":""2026-04-30T21:00:00Z"",""hourEnd"":""2026-04-30T22:00:00Z"",""failedHours"":""24"",""attemptedHours"":""24"",""requestUrl"":""https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957""}}";;WIND;5052;10933818957;2026-04-30T21:00:00Z;2026-04-30T22:00:00Z;;;YKS_HOURLY_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
1.05.2026 14:44;error;WIND;rgdh-monitor;;;;;2026-05-01: tum aday RES/GES busbar id degerleri basarisiz: 10933818957, 5052;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""errorType"":""YKS_HOURLY_TIMEOUT"",""errorClass"":""YKS_HOURLY_TIMEOUT"",""source"":""WIND"",""busbarId"":""5052"",""internalBusbarId"":""10933818957"",""displayBusbarId"":""5052"",""localDate"":""2026-05-01"",""hourStart"":""2026-04-30T21:00:00Z"",""hourEnd"":""2026-04-30T22:00:00Z"",""failedHours"":""24"",""attemptedHours"":""24"",""requestUrl"":""https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957""}}";;WIND;5052;10933818957;2026-04-30T21:00:00Z;2026-04-30T22:00:00Z;;;YKS_HOURLY_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
1.05.2026 14:44;warn;WIND;rgdh-monitor;;;;;2026-05-01: hibrit RES/GES aday probe basarisiz: 5052;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""httpStatus"":"""",""errorType"":""PAGE_FETCH_TIMEOUT"",""errorClass"":""PAGE_FETCH_TIMEOUT"",""source"":""WIND"",""busbarId"":""5052"",""internalBusbarId"":""5052"",""displayBusbarId"":""5052"",""localDate"":""2026-05-01"",""hour"":""0"",""hourStart"":""2026-04-30T21:00:00Z"",""hourEnd"":""2026-04-30T22:00:00Z"",""requestUrl"":""https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=5052""}}";;WIND;5052;5052;2026-04-30T21:00:00Z;2026-04-30T22:00:00Z;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=5052;;
1.05.2026 14:44;info;WIND;rgdh-monitor;;;;;2026-05-01: hibrit RES/GES aday probe sorgulanacak: 5052;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""endpoint"":""/api/rgdh-wind-busbar-data"",""params"":{""measurementDate.greaterOrEqualThan"":""2026-04-30T21:00:00Z"",""measurementDate.lessThan"":""2026-04-30T22:00:00Z"",""size"":""60"",""page"":""0"",""sort"":""measurementDate,asc"",""busbarId.equals"":""5052""},""displayBusbarId"":""5052"",""localDate"":""2026-05-01"",""hour"":""0"",""hourStart"":""2026-04-30T21:00:00Z"",""hourEnd"":""2026-04-30T22:00:00Z"",""requestUrl"":""https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=5052"",""pageTimeoutMs"":""12000""}}";;;5052;;2026-04-30T21:00:00Z;2026-04-30T22:00:00Z;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-30T21%3A00%3A00Z&measurementDate.lessThan=2026-04-30T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=5052;;
1.05.2026 14:44;warn;WIND;rgdh-monitor;;;;;"2026-05-01: 10933818957 aday RES/GES busbar id zaman asimina ugradi; display id probe denenecek.";"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""errorType"":""YKS_HOURLY_TIMEOUT"",""errorClass"":""YKS_HOURLY_TIMEOUT"",""displayBusbarId"":""5052"",""localDate"":""2026-05-01""}}";;;5052;;;;;;YKS_HOURLY_TIMEOUT;;;
1.05.2026 14:44;success;WIND;rgdh-monitor;;;;;Saatlik toplam 0 kayit alindi.;"{""requestHeaders"":{},""responseHeaders"":{},""detail"":{""endpoint"":""/api/rgdh-wind-busbar-data"",""busbarId"":""10933818957"",""internalBusbarId"":""10933818957"",""displayBusbarId"":""5052"",""localDate"":""2026-05-01"",""rowCount"":""0"",""partialErrors"":""1""}}";;;5052;10933818957;;;;;;;0;
