BYTM Adı;Ölçüm Zamanı;Bara ID;Bara Adı;TPYS Set;Kurulu Güç;Pmkud;MinMkud;Canlı Bara;Bara Set Üst Limit;Bara Set Alt Limit;Bara 1 Gerilim;Bara 1 Gerilim Kalite Detayı;Bara 2 Gerilim;Bara 2 Gerilim Kalite Detayı;Bara 3 Gerilim;Bara 3 Gerilim Kalite Detayı;Toplam Ünite Pgen Aktif (MW);Yardımcı Kaynak (MW);Yardımcı Kaynak (MVAr);Toplam Ünite Qgen Reaktif (MVAr);Toplam D.İ. MVar Limit;Toplam A.İ. MVar Limit;Devre Durumu;Yükümlülük Durumu;Bara Set Onay Durumu;D.İ. MVAR Onay;A.İ. MVAR Onay;Onay Durum
"OA_YTM";"29 Nis 2026 00:00:00";2114;"YAMULA HES 154";"159,00";"100,00";"25,50";"25,50";"159,61";"161,31";"156,69";"159,61";"Actual";"0,00";"Actual";"";"";"82,99";"";"";"-31,58";"-29,57";"55,78";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";5532;"ACWA KIRIKKALE DGKÇ";"404,00";"927,40";"460,00";"217,00";"412,85";"410,00";"398,00";"412,85";"Actual";"411,73";"Actual";"";"";"0,00";"";"";"-0,75";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";5453;"KARGI BARAJI VE HES";"157,00";"93,84";"0,00";"2,70";"155,77";"159,31";"154,69";"155,77";"Actual";"0,00";"Actual";"";"";"0,00";"";"";"-0,06";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";6137;"KARAMAN BES";"158,00";"40,00";"10,75";"10,75";"160,48";"160,31";"155,69";"160,48";"Actual";"";"";"";"";"26,77";"10,00";"-0,01";"-9,61";"16,00";"22,00";"0";"0";"0";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";6011;"GÜRSÖĞÜT BARAJI ve HES";"156,00";"51,64";"3,00";"2,50";"156,54";"158,31";"153,69";"156,54";"Actual";"";"";"";"";"17,65";"";"";"12,67";"-7,64";"14,40";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2108;"SARIYAR 154";"159,00";"160,00";"0,00";"40,00";"155,81";"161,31";"156,69";"155,81";"Actual";"";"";"";"";"0,00";"";"";"-59,18";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2109;"YENİCE 154";"159,00";"36,97";"0,00";"3,00";"159,03";"161,31";"156,69";"159,03";"Actual";"";"";"";"";"11,66";"";"";"-0,76";"-1,11";"1,66";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2113;"ÇAMLICA HES 154";"159,00";"84,00";"22,00";"22,00";"159,47";"161,31";"156,69";"159,47";"Actual";"-0,62";"Actual";"";"";"56,41";"";"";"0,14";"-16,56";"24,41";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2111;"BAYMİNA 154";"158,00";"833,20";"440,00";"220,00";"158,74";"160,31";"155,69";"158,74";"Actual";"158,91";"Actual";"";"";"-0,27";"";"";"3,08";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2110;"BAYRAMHACILI 154";"157,00";"47,00";"14,10";"14,10";"158,03";"159,31";"154,69";"158,03";"Actual";"";"";"";"";"39,67";"";"";"-16,79";"-13,90";"26,21";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";4952;"İÇ ANADOLU DGKÇ SANTRALİ";"404,00";"870,00";"0,00";"141,00";"408,14";"410,00";"398,00";"408,14";"Actual";"408,09";"Actual";"";"";"0,00";"";"";"-0,92";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2106;"KAPULUKAYA 154";"158,00";"54,00";"0,00";"13,00";"158,72";"160,31";"155,69";"158,72";"Actual";"";"";"";"";"-0,05";"";"";"-0,14";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2105;"HİRFANLI HES 154";"158,00";"128,00";"0,00";"20,00";"157,15";"160,31";"155,69";"157,15";"Actual";"";"";"";"";"0,49";"";"";"-1,49";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2104;"GÖKÇEKAYA 380";"404,00";"278,40";"0,00";"80,00";"402,94";"410,00";"398,00";"402,94";"Actual";"405,41";"Actual";"403,60";"Actual";"-1,47";"";"";"-1,47";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2112;"ÇAYIRHAN TES 380";"404,00";"620,00";"450,00";"90,00";"402,41";"410,00";"398,00";"402,41";"Actual";"456,00";"Invalid";"";"";"516,66";"";"";"103,28";"-55,80";"83,70";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";5673;"KAZAN SODA DGKÇS";"159,00";"379,00";"0,00";"205,00";"159,49";"161,31";"156,69";"159,49";"Actual";"159,62";"Actual";"";"";"0,00";"";"";"-0,14";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";6154;"YUNUS EMRE TES";"404,00";"145,00";"0,00";"35,00";"409,78";"410,00";"398,00";"409,78";"Actual";"";"";"";"";"-1,61";"";"";"-0,44";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:00:00";2107;"KESİKKÖPRÜ 154";"158,00";"76,00";"0,00";"28,00";"162,28";"160,31";"155,69";"162,28";"Actual";"162,26";"Actual";"";"";"0,01";"";"";"0,04";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";2114;"YAMULA HES 154";"159,00";"100,00";"25,50";"25,50";"159,06";"161,31";"156,69";"159,06";"Actual";"0,00";"Actual";"";"";"82,99";"";"";"-31,66";"-29,57";"55,78";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";5532;"ACWA KIRIKKALE DGKÇ";"404,00";"927,40";"460,00";"217,00";"410,90";"410,00";"398,00";"410,90";"Actual";"409,23";"Actual";"";"";"0,21";"";"";"-0,95";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";5453;"KARGI BARAJI VE HES";"157,00";"93,84";"0,00";"2,70";"154,50";"159,31";"154,69";"154,50";"Actual";"0,00";"Actual";"";"";"0,00";"";"";"-0,06";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";6137;"KARAMAN BES";"158,00";"40,00";"10,75";"10,75";"160,47";"160,31";"155,69";"160,47";"Actual";"";"";"";"";"26,69";"10,00";"-0,01";"-9,48";"16,00";"22,00";"0";"0";"0";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";6011;"GÜRSÖĞÜT BARAJI ve HES";"156,00";"51,64";"3,00";"2,50";"154,30";"158,31";"153,69";"154,30";"Actual";"";"";"";"";"0,00";"";"";"0,00";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";2108;"SARIYAR 154";"159,00";"160,00";"0,00";"40,00";"155,02";"161,31";"156,69";"155,02";"Actual";"";"";"";"";"0,00";"";"";"-59,15";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";2109;"YENİCE 154";"159,00";"36,97";"0,00";"3,00";"158,58";"161,31";"156,69";"158,58";"Actual";"";"";"";"";"0,00";"";"";"0,77";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";2113;"ÇAMLICA HES 154";"159,00";"84,00";"22,00";"22,00";"159,47";"161,31";"156,69";"159,47";"Actual";"-0,62";"Actual";"";"";"56,41";"";"";"0,42";"-16,56";"24,41";"0";"0";"1";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";2111;"BAYMİNA 154";"158,00";"833,20";"440,00";"220,00";"158,74";"160,31";"155,69";"158,74";"Actual";"158,97";"Actual";"";"";"-0,14";"";"";"3,08";"";"";"0";"0";"-";"-";"-";"-"
"OA_YTM";"29 Nis 2026 00:01:00";2110;"BAYRAMHACILI 154";"157,00";"47,00";"14,10";"14,10";"157,20";"159,31";"154,69";"157,20";"Actual";"";"";"";"";"39,53";"";"";"-16,00";"-13,90";"26,21";"0";"0";"1";"-";"-";"-"
