Bara Tipi;Bara ID;Bara Adı;RGK Tipi;Bara Gerilim Seviyesi;BYTM;TPYS Santral ID;TPYS Santral İsmi;Bara 1 TA;Bara 1 Setnum;Bara 2 TA;Bara 2 Setnum;Bara 3 TA;Bara 3 Setnum;Ünite Adı;UEVCB Adı;TPYS UEVCB ID;Kaynak Tipi;Aktif Güç TA;Aktif Güç Setnum;Reaktif Güç TA;Reaktif Güç Setnum;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı);Ünite Aktif mi ?
WIND;6002;AKYEL-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;15283;AKYEL-1 RES;AKYEL-1/154/U ORT/U;2,1,160635;-;-;-;-;Ünite 1-12;AKYEL-1 RES;3213030;WIND;AKYEL-1/154/RGKTOP/P;2,1,159140;AKYEL-1/154/RGKTOP/Q;2,1,159141;58,55;-;-19,24;19,24;AKTİF
WIND;6002;AKYEL-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;15283;AKYEL-1 RES;AKYEL-1/154/U ORT/U;2,1,160635;-;-;-;-;YARDIMCI KAYNAK GES;AKYEL-1 RES;3213030;GES(Güneş Enerji Santrali);AKYEL-1/34.5/GenHAT-6/P;2,1,138286;AKYEL-1/34.5/GenHAT-6/Q;2,1,138287;39,990;;-19,367;19,367;AKTİF
WIND;5902;BAĞLAR RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;12183;BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.);BAGLARRE/154/BB-A/U;2,1,77108;-;-;-;-;ÜNİTE 1-24;BAĞLAR RES;3204190;WIND;BAGLARRE/154/RGKTOP/P;2,1,159269;BAGLARRE/154/RGKTOP/Q;2,1,159270;100;-;-32,87;32,87;AKTİF
WIND;5902;BAĞLAR RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;12183;BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.);BAGLARRE/154/BB-A/U;2,1,77108;-;-;-;-;YARDIMCI KAYNAK GES;BAĞLAR RES;3204190;GES(Güneş Enerji Santrali);BAGLARRE/33.6/GES-HAT/P;2,1,150132;BAGLARRE/33.6/GES-HAT/Q;2,1,150133;25,985;;-12,583;12,583;AKTİF
WIND;6149;ERCİYES RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;20003;ERCİYES RES;ERCIYESR/154/BB A/U;2,1,134056;-;-;-;-;Ünite 1-16;ERCİYES RES;3221370;WIND;ERCIYESR/154/RGKTOP/P;2,1,160027;ERCIYESR/154/RGKTOP/Q;2,1,160028;78,6;-;-25,83;25,83;AKTİF
WIND;6149;ERCİYES RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;20003;ERCİYES RES;ERCIYESR/154/BB A/U;2,1,134056;-;-;-;-;YARDIMCI KAYNAK GES;ERCİYES RES;3221370;GES(Güneş Enerji Santrali);ERCIYESR/33/GES-HAT/P;2,1,139347;ERCIYESR/33/GES-HAT/Q;2,1,139348;23,840;;-11,548;11,548;AKTİF
WIND;5052;GEYCEK RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;6740;GEYCEK RES;GEYCEK/154/swTR1/U;2,1,160964;-;-;-;-;Ünite 1-70;AL-YEL ELEKTRİK ÜRETİM A.Ş.;340575;WIND;GEYCEK/154/RGKTOP/P;2,1,160174;GEYCEK/154/RGKTOP/Q;2,1,160175;172,2;-;-56,6;56,6;AKTİF
WIND;5052;GEYCEK RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;6740;GEYCEK RES;GEYCEK/154/swTR1/U;2,1,160964;-;-;-;-;YARDIMCI KAYNAK GES;AL-YEL ELEKTRİK ÜRETİM A.Ş.;340575;GES(Güneş Enerji Santrali);GEYCEK/34.5/Gen-15/P;2,1,156380;GEYCEK/34.5/Gen-15/Q;2,1,156381;46,630;;-22,585;22,585;AKTİF
WIND;5959;MUTLU RES 5;WIND_AFTER_2013_RES_KV;154;OA_YTM;14843;MUTLU RES 5;MUTLU5R/154/BB A/U;2,1,111416;-;-;-;-;Ünite 1-13;MUTLU RES 5;3211091;WIND;MUTLU5R/154/RGKTOP/P;2,1,159414;MUTLU5R/154/RGKTOP/Q;2,1,159415;81,2;-;-26,69;26,69;AKTİF
WIND;5959;MUTLU RES 5;WIND_AFTER_2013_RES_KV;154;OA_YTM;14843;MUTLU RES 5;MUTLU5R/154/BB A/U;2,1,111416;-;-;-;-;YARDIMCI KAYNAK GES;MUTLU RES 5;3211091;GES(Güneş Enerji Santrali);MUTLU5R/154/RGKYKTOP/P;2,1,159416;MUTLU5R/154/RGKYKTOP/Q;2,1,159417;43,990;;-21,310;21,310;AKTİF
