Bara Tipi;Bara ID;Bara Adı;RGK Tipi;Bara Gerilim Seviyesi;BYTM;TPYS Santral ID;TPYS Santral İsmi;Bara 1 TA;Bara 1 Setnum;Bara 2 TA;Bara 2 Setnum;Bara 3 TA;Bara 3 Setnum;Ünite Adı;UEVCB Adı;TPYS UEVCB ID;Kaynak Tipi;Aktif Güç TA;Aktif Güç Setnum;Reaktif Güç TA;Reaktif Güç Setnum;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı);Ünite Aktif mi ?;YTBS Santral Adı;YTBS Trafo Merkezi ID;YTBS Trafo Merkezi Adı;Enlem;Boylam;KAYNAK TÜRÜ;İkincil Kaynakları;İli;Bara Tipi;Senkron Kompansatör Var mI?;EÜAŞ Protokol Var Mı?;Yan Hizmetler Analiz Platformu RGK Tipi;RGK TİPİ Açıklama;Dengeleme Birimi mi?;TPYS Ünite MKÜD;TPYS Santral MKÜD
WIND;6085;KARAPINAR YEKA-1 GES 400;GES_AFTER_2020_KV;400;OA_YTM;15303;KARAPINAR YEKA-1 GES;K.PINARG/380/BB 1/U;2,1,110059;K.PINARG/380/BB 2/U;2,1,110060;-;-;Ünite 1-5;KARAPINAR YEKA-1 GES 400;3223150;SUN;K.PINARG/380/RGKTOP/P;2,1,162187;K.PINARG/380/RGKTOP/Q;2,1,162188;800;-;-387,46;387,46;AKTİF;KARAPINAR YEKA-1 MEKE GES;1816;KARAPINAR MEKE GÖLÜ GES;37,792;33,584;Güneş;0;Konya;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;6084;KARAPINAR YEKA-1 GES 154;GES_AFTER_2020_KV;154;OA_YTM;15303;KARAPINAR YEKA-1 GES;K.PINARG/154/BB A/U;2,1,110525;-;-;-;-;Ünite A-B;KARAPINAR YEKA-1 GES;3213050;SUN;K.PINARG/154/RGKTOP/P;2,1,161071;K.PINARG/154/RGKTOP/Q;2,1,161072;200;-;-96,86;96,86;AKTİF;KARAPINAR YEKA-1 GES;1732;KARAPINAR ACIGÖL GES;37,764;33,572;Güneş;0;Konya;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;6227;İGA GES (LİSANSSIZ);GES_AFTER_2020_KV;400;OA_YTM;5012347;LÜY_İLETİM_GES_K3 OSMANGAZİ_İGA GES(ESKİŞEHİR);IGAGES/400/BB 1/U;2,1,158975;IGAGES/400/BB 2/U;2,1,158977;-;-;Ünite 1-18;İGA GES(ESKİŞEHİR)_(ST)_LUY_GES_İLETİM_5.1.H;5012361;SUN;IGAGES/400/RGKTOP/P;2,1,159930;IGAGES/400/RGKTOP/Q;2,1,159931;199,32;-;-96,54;96,54;AKTİF;İGA GES;2344;İGA GES;39,205;31,491;Güneş;0;Ankara;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;5052;GEYCEK RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;6740;GEYCEK RES;GEYCEK/154/swTR1/U;2,1,160964;-;-;-;-;Ünite 1-70;AL-YEL ELEKTRİK ÜRETİM A.Ş.;340575;WIND;GEYCEK/154/RGKTOP/P;2,1,160174;GEYCEK/154/RGKTOP/Q;2,1,160175;172,2;-;-56,6;56,6;AKTİF;GEYCEK RES;1038;GEYCEK RES;39,111;34,444;Rüzgar;Güneş;Kırşehir;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6153;G4-BOR2 GES;GES_AFTER_2020_KV;154;OA_YTM;20704;G4-BOR2 GES;G4_BOR-2/154/BB A/U;2,1,138626;-;-;-;-;Ünite 1-8;G4-BOR2 GES;3223631;SUN;G4_BOR-2/154/RGKTOP/P;2,1,159608;G4_BOR-2/154/RGKTOP/Q;2,1,159609;100;-;-48,43;48,43;AKTİF;G4-BOR-2 GES;2175;UĞURLU GES;37,8;34,468;Güneş;0;Niğde;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;6155;G4-BOR3 GES;GES_AFTER_2020_KV;154;OA_YTM;5000620;G4-BOR3 GES;G4_BOR-3/154/BB A/U;2,1,139758;-;-;-;-;ÜNİTE GES;G4-BOR3 GES;5000640;SUN;G4_BOR-3/154/RGKTOP/P;2,1,159926;G4_BOR-3/154/RGKTOP/Q;2,1,159927;100;-;-48,43;48,43;AKTİF;G4-BOR-3 GES;2239;SÖNMEZ GES;37,795;34,468;Güneş;0;Niğde;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;6282;OYAK ANKARA-1 GES (LİSANSSIZ);GES_AFTER_2020_KV;154;OA_YTM;5013643;LÜY_İLETİM_GES_K3 BAŞKENT_OYAK ANKARA-1 GES;OYAK1GES/154/BB-A/U;2,1,160742;-;-;-;-;Ünite 1-14;OYAK ANKARA-1 GES_TRA, TRB(ST)_LUY_GES_İLETİM_5.1.H;5013592;SUN;OYAK1GES/154/RGKTOP/P;2,1,161643;OYAK1GES/154/RGKTOP/Q;2,1,161644;97,8;-;-47,37;47,37;AKTİF;OYÇİM GES;2570;OYÇİM GES;40,086;32,038;Güneş;0;Ankara;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;6228;G4-BOR-1 GES;GES_AFTER_2020_KV;154;OA_YTM;5011621;G4-BOR-1 GES;G4BOR-1/154/BB-A/U;2,1,157953;-;-;-;-;Ünite 1-10;G4-BOR-1 GES;5011641;SUN;G4BOR-1/154/RGKTOP/P;2,1,159924;G4BOR-1/154/RGKTOP/Q;2,1,159925;93,02;-;-45,05;45,05;AKTİF;G4-BOR-1 GES;2159;ATAHAN GES;37,804;34,458;Güneş;0;Niğde;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;6128;ATAKALE RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;16243;ATAKALE RES;ATAKALE/154/BB A/U;2,1,106146;-;-;-;-;Ünite 1-21;ATAKALE RES;3214310;WIND;ATAKALE/154/RGKTOP/P;2,1,160152;ATAKALE/154/RGKTOP/Q;2,1,160153;119,8;-;-39,38;39,38;AKTİF;ATAKALE RES;1773;ATAKALE RES;39,558;33,52;Rüzgar;0;Kırıkkale;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;5192;YAHYALI-2 RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;10442;YAHYALI RES(BAK);YAHYALBE/154/BB-1/U;2,1,2383;YAHYALBE/154/BB-2/U;2,1,2384;-;-;YARDIMCI KAYNAK GES;YAHYALI RES(BAK);3196728;GES(Güneş Enerji Santrali);YAHYALBE/154/RGKYKTOP/P;2,1,159131;YAHYALBE/154/RGKYKTOP/P;2,1,159132;71,417;;-34,589;34,589;AKTİF;YAHYALI BAK RES;1400;YAHYALI BAK RES;38,179;35,468;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-2>> 25.09.2008 ile 02.01.2013 arası kV;0;0;0
